"","X.1","X","time","DOYtime","flux","soilT_T","VSM_T","doy","DAMM14","predict14"
"733",733,733,"2014-05-31 20",151.85139,184.96,11.66,0.25,151,72.650312643717,74.5868968045437
"734",734,734,"2014-05-31 21",151.894096666667,166.333333333333,11.6,0.25,151,72.1846862452953,74.0203230854093
"735",735,735,"2014-05-31 22",151.936806,128.78,11.46,0.25,151,71.1090474058666,72.6983177407625
"736",736,736,"2014-05-31 23",151.97639,153.488,11.32,0.25,151,70.0484017385777,71.3763123961156
"737",737,737,"2014-06-01 00",152.019096666667,141.546666666667,11.1333333333333,0.25,152,68.6571952044367,69.6136386032528
"738",738,738,"2014-06-01 01",152.061806,107.062,10.96,0.25,152,67.3885220755749,67.9768700813094
"739",739,739,"2014-06-01 02",152.10139,130.24,10.82,0.25,152,66.3798556398146,66.6548647366626
"740",740,740,"2014-06-01 03",152.144096666667,117.61,10.6666666666667,0.25,152,65.291325784283,65.2069541210973
"741",741,741,"2014-06-01 04",152.186806,115.892,10.58,0.25,152,64.6834732734176,64.3885698601251
"742",742,742,"2014-06-01 05",152.22639,135.584,10.5,0.25,152,64.1270773196501,63.6331382346126
"743",743,743,"2014-06-01 06",152.269096666667,106.05,10.3833333333333,0.25,152,63.3236810034943,62.5314671140732
"744",744,744,"2014-06-01 07",152.311806,97.056,10.3,0.25,152,62.7555974306805,61.7445591708314
"745",745,745,"2014-06-01 08",152.35139,120.204,10.34,0.25,152,63.0276803652218,62.1222749835876
"746",746,746,"2014-06-01 09",152.394096666667,124.508333333333,10.4833333333333,0.25,152,64.0117260110342,63.4757566459639
"747",747,747,"2014-06-01 10",152.436806,107.198,10.68,0.25,152,65.3853140670075,65.3328593920157
"748",748,748,"2014-06-01 11",152.4783,118.0425,10.925,0.25,152,67.1350211327524,67.6463687451477
"749",749,749,"2014-06-01 12",152.519096666667,107.688333333333,11.2166666666667,0.25,152,69.2750477607289,70.4005465464956
"750",750,750,"2014-06-01 13",152.561806,114.374,11.56,0.25,152,71.8758195414203,73.6426072726531
"751",751,751,"2014-06-01 14",152.60139,157.37,11.9,0.25,152,74.5410300739903,76.8531916810812
"752",752,752,"2014-06-01 15",152.644096666667,117.916666666667,12.2,0.25,152,76.9690938455649,79.686060276753
"753",753,753,"2014-06-01 16",152.686806,116.496,12.4,0.25,152,78.6286427205275,81.5746393405342
"754",754,754,"2014-06-01 17",152.72639,149.704,12.48,0.25,152,79.3017750404557,82.3300709660467
"755",755,755,"2014-06-01 18",152.769096666667,129.045,12.6,0.25,152,80.3215749891678,83.4632184043155
"756",756,756,"2014-06-01 19",152.811806,127.072,12.6,0.25,152,80.3215749891678,83.4632184043155
"757",757,757,"2014-06-01 20",152.85139,156.27,12.62,0.25,152,80.4927281473778,83.6520763106936
"758",758,758,"2014-06-01 21",152.894096666667,155.786666666667,12.5833333333333,0.25,152,80.1792071384969,83.3058368156667
"759",759,759,"2014-06-01 22",152.936806,129.214,12.44,0.25,152,78.9645387593519,81.9523551532905
"760",760,760,"2014-06-01 23",152.97639,183.696,12.4,0.25,152,78.6286427205275,81.5746393405342
"761",761,761,"2014-06-02 00",153.019096666667,150.773333333333,12.25,0.25,153,77.3808849767996,80.1582050426983
"762",762,762,"2014-06-02 01",153.061806,136.704,12.14,0.25,153,76.4776472901037,79.1194865576186
"763",763,763,"2014-06-02 02",153.10139,169.064,12.06,0.25,153,75.8269450051509,78.3640549321062
"764",764,764,"2014-06-02 03",153.144096666667,153.99,11.9666666666667,0.25,153,75.0743314744336,77.4827180356752
"765",765,765,"2014-06-02 04",153.186806,139.394,11.8,0.25,153,73.7477115116701,75.9089021491906
"766",766,766,"2014-06-02 05",153.22639,154.022,11.74,0.25,153,73.2755146185265,75.3423284300562
"767",767,767,"2014-06-02 06",153.269096666667,132.315,11.6666666666667,0.25,153,72.7022218017298,74.6498494400034
"768",768,768,"2014-06-02 07",153.311806,115.586,11.5,0.25,153,71.4148343297537,73.0760335535187
"769",769,769,"2014-06-02 08",153.35139,123.502,11.5,0.25,153,71.4148343297537,73.0760335535187
"770",770,770,"2014-06-02 09",153.394096666667,119.565,11.5333333333333,0.25,153,71.6705949931156,73.3907967308153
"771",771,771,"2014-06-02 10",153.436806,104.468,11.66,0.244,153,70.6519956240462,71.839557831806
"772",772,772,"2014-06-02 11",153.4783,122.705,11.85,0.24,153,70.6774717792324,71.8021486272396
"773",773,773,"2014-06-02 12",153.519096666667,106.743333333333,12.15,0.24,153,72.9805063106557,74.6350172229115
"774",774,774,"2014-06-02 13",153.5598975,92.2425,12.625,0.24,153,76.7708526483133,79.1203924993919
"775",775,775,"2014-06-02 14",153.601565,130.98,12.975,0.24,153,79.680569479154,82.425405861009
"776",776,776,"2014-06-02 15",153.644096666667,134.035,13.3166666666667,0.24,153,82.6201057901971,85.6517284283023
"777",777,777,"2014-06-02 16",153.686806,124.328,13.52,0.24,153,84.4172476833211,87.5717838098129
"778",778,778,"2014-06-02 17",153.72639,176.818,13.68,0.24,153,85.8569909182357,89.0826470608378
"779",779,779,"2014-06-02 18",153.769096666667,134.031666666667,13.7833333333333,0.24,153,86.7989790683616,90.0584129104578
"780",780,780,"2014-06-02 19",153.811806,134.078,13.84,0.24,153,87.3196425417399,90.5935103118628
"781",781,781,"2014-06-02 20",153.85139,178.696,13.86,0.24,153,87.5041014971504,90.7823682182409
"782",782,782,"2014-06-02 21",153.894096666667,145.683333333333,13.8166666666667,0.24,153,87.1048994377945,90.3731760877554
"783",783,783,"2014-06-02 22",153.936806,126.364,13.74,0.24,153,86.4027826751237,89.6492207799722
"784",784,784,"2014-06-02 23",153.97639,160.636,13.7,0.24,153,86.0385626921222,89.271504967216
"785",785,785,"2014-06-03 00",154.019096666667,137.698333333333,13.5833333333333,0.24,154,84.9844281718316,88.1698338466766
"786",786,786,"2014-06-03 01",154.061806,134.612,13.5,0.24,154,84.2388738947114,87.3829259034348
